id	text
ood-001	Calculate the orbital period of a satellite at this altitude
ood-002	Convert this sourdough recipe from grams to cups
ood-003	Show me tomorrow's weather forecast for Reykjavik
ood-004	Write a SQL query that joins four inventory tables
ood-005	Translate this legal clause into Japanese
ood-006	Predict the closing price of a technology stock
ood-007	Generate a chord progression in D minor
ood-008	Find the cheapest direct flight to Singapore
ood-009	Explain how plate tectonics form island arcs
ood-010	Repair the bootloader on an encrypted Linux disk
ood-011	List the scorers in last night's football match
ood-012	Balance this chemical reaction for combustion
ood-013	Render a photorealistic landscape at sunset
ood-014	Solve the integral of x squared times cosine x
ood-015	Compare mortgage rates from three Swiss banks
ood-016	Summarize the latest parliamentary election results
ood-017	QZXV PRLNT KMBF
ood-018	🪐🛰️🧪
ood-019	010101 111000 001111
ood-020	Frabjous quendlers vorticate zymurgy
